58,SCI,UART,TX,4
59,GPIO,Port9,1,Read
59,GPIO,Port9,1,Write
59,SCI,SPI,SCK,4
60,Power,VSS,,
61,Power,VCC,,
62,Debug,TRCLK,,
62,GPIO,Port2,14,Read
62,GPIO,Port2,14,Write
62,GPT,GTIU,,
62,QSPI,CLK,,
63,Debug,TRDATA,0,
63,GPIO,Port2,11,Read
63,GPIO,Port2,11,Write
63,GPT,GTIV,,
63,QSPI,QIO,0,
64,Debug,TRDATA,1,
64,GPIO,Port2,10,Read
64,GPIO,Port2,10,Write
64,GPT,GTIW,,
64,QSPI,QIO,1,
65,Debug,TRDATA,2,
65,GPIO,Port2,9,Read
65,GPIO,Port2,9,Write
65,GPT,GTOVUP,,
65,QSPI,QIO,2,
66,Debug,TRDATA,3,
66,GPIO,Port2,8,Read
66,GPIO,Port2,8,Write
66,GPT,GTOVLO,,
66,QSPI,QIO,3,
67,System,RES,,
68,GPIO,Port2,1,Read
68,GPIO,Port2,1,Write
68,System,MD,,
69,GPIO,Port2,0,Read
69,Interrupt,NMI,,
70,GPIO,Port9,8,Read
70,GPIO,Port9,8,Write
70,GPT,GTIOC2,A,
71,GPIO,Port9,7,Read
71,GPIO,Port9,7,Write
71,GPT,GTIOC2,B,
72,GPIO,Port9,6,Read
72,GPIO,Port9,6,Write
72,GPT,GTIOC3,A,
73,GPIO,Port9,5,Read
73,GPIO,Port9,5,Write
73,GPT,GTIOC3,B,
74,GPIO,Port3,12,Read
74,GPIO,Port3,12,Write
74,SCI,SPI,SS,3
74,SCI,UART,CTS,3
74,SCI,UART,RTS,3
75,GPIO,Port3,11,Read
75,GPIO,Port3,11,Write
75,SCI,SPI,SCK,3
76,GPIO,Port3,10,Read
76,GPIO,Port3,10,Write
76,QSPI,QIO,3,
76,SCI,UART,TX,3
77,GPIO,Port3,9,Read
77,GPIO,Port3,9,Write
77,QSPI,QIO,2,
77,SCI,UART,RX,3
78,GPIO,Port3,8,Read
78,GPIO,Port3,8,Write
78,QSPI,QIO,1,
79,GPIO,Port3,7,Read
79,GPIO,Port3,7,Write
79,GPT,GTOUUP,,
79,QSPI,QIO,0,
79,SCI,UART,CTS,6
80,GPIO,Port3,6,Read
80,GPIO,Port3,6,Write
80,GPT,GTOULO,,
80,QSPI,SS,,
80,SCI,SPI,SCK,6
81,GPIO,Port3,5,Read
81,GPIO,Port3,5,Write
81,GPT,GTOWUP,,
81,Interrupt,IRQ,8,
81,QSPI,CLK,,
81,SCI,I2C,SDA,6
81,SCI,SPI,MOSI,6
81,SCI,UART,TX,6
82,GPIO,Port3,4,Read
